analog_reading,muscle_state,predicted_state
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
28,0,0
29,0,0
28,0,0
28,0,0
